year;jounral;title;url
2021;Physical Review A 103 (2)_ 022834;Decomposition of the transition phase in multi-sideband schemes for reconstruction of attosecond beating by interference of two-photon transitions;https://link.aps.org/pdf/10.1103/PhysRevA.103.022834
2021;Physical Review A 103 (2)_ 022807;Positive-energy spectra of atomic hydrogen in a magnetic field: A comparative study between different theoretical approaches;https://link.aps.org/accepted/10.1103/PhysRevA.103.022807
2021;Physical review letters 126 (2)_ 023201;Using circular dichroism to control energy transfer in multiphoton ionization;https://link.aps.org/accepted/10.1103/PhysRevLett.126.023201
2021;s Note: MDPI stays neutral with regard to jurisdictional claims in published …;Relativistic B-Spline R-Matrix Calculations for Electron Collisions with Ytterbium. Atoms 2021_ 9_ 47;
2021;APS Annual Gaseous Electronics Meeting Abstracts_ PR23. 003;Benchmark Calculations for Electron Collisions with Ytterbium.;
2021;APS Annual Gaseous Electronics Meeting Abstracts_ GT61. 034;Convergent close-coupling calculations of the Fulcher-α linear polarization fraction in e-H2 collisions;
2021;APS Annual Gaseous Electronics Meeting Abstracts_ PR23. 001;A Science Gateway for Atomic and Molecular Physics: Democratizing Atomic and Molecular Physics Research and Education;
2021;APS Annual Gaseous Electronics Meeting Abstracts_ PR23. 002;B-Spline Atomic R-Matrix Calculations on the AMPGateway;
2020;Physical Review A 102 (6)_ 062809;Photoelectron spectroscopy of laser-dressed atomic helium;https://link.aps.org/pdf/10.1103/PhysRevA.102.062809
2020;arXiv preprint arXiv:2011.11794;Positive-energy spectra of atomic hydrogen in a magnetic field with an adiabatic-basis-expansion method;https://arxiv.org/pdf/2011.11794
2020;arXiv e-prints_ arXiv: 2011.09649;Quantum control of entangled photon-pair generation in electron-atom collisions driven by laser-synthesized free-electron wave packets;
2020;APS Annual Gaseous Electronics Meeting Abstracts_ LT1. 009;Benchmark calculations for electron collisions with neutral indium atoms.;https://amosgateway.org/documents/365/KRH_GEC_poster.pdf
2020;Journal of Physics B: Atomic_ Molecular and Optical Physics 53 (19)_ 192002;Computational treatment of electron and photon collisions with atoms_ ions_ and molecules: the legacy of Philip G Burke;https://iopscience.iop.org/article/10.1088/1361-6455/aba473/meta
2020;Physical Review A 102 (2)_ 022801;Electron-impact excitation of the () ) transition in indium: Theory and experiment;https://ro.uow.edu.au/cgi/viewcontent.cgi?article=5359&context=eispapers1
2020;Physical Review A 102 (1)_ 013116;Ellipticity dependence of excitation and ionization of argon atoms by short-pulse infrared radiation;https://arxiv.org/pdf/2006.00655
2020;Practice and Experience in Advanced Research Computing_ 270-277;Atomic and molecular scattering applications in an Apache Airavata Science Gateway;https://dl.acm.org/doi/pdf/10.1145/3311790.3397342
2020;Optics Express 28 (15)_ 22231-22246;Nonsequential double ionization of Ar in near-single-cycle laser pulses;https://opg.optica.org/viewmedia.cfm?uri=oe-28-15-22231&seq=0&html=true
2020;Journal of Physics B: Atomic_ Molecular and Optical Physics 53 (12)_ 124002;Attosecond transient absorption of a continuum threshold;https://iopscience.iop.org/article/10.1088/1361-6455/ab7c3f/pdf
2020;Physical Review A 101 (5)_ 053402;Observation of dynamic stark resonances in strong-field excitation;https://arxiv.org/pdf/1912.06280
