year;jounral;title;url
2018;VizieR Online Data Catalog, J/ApJ/850/147;VizieR Online Data Catalog: Effective collision strengths for OIII transitions (Tayal+, 2017);
2018;Bulletin of the American Physical Society 63;Electron Impact Excitation Cross Sections for S;
2018;Physical Review A 97 (5), 052710;Out-of-plane () measurements and calculations on He autoionizing levels as a function of incident-electron energy;https://link.aps.org/accepted/10.1103/PhysRevA.97.052710
2018;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2018 …;B-spline R-matrix with pseudo-states calculations for electron-impact excitation and ionization of calcium;
2018;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2018 …;Electron-impact excitation cross sections for Fe I;
2018;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2018 …;Cross Sections and Spin Asymmetries for Electron Collisions with Lead;
2018;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2018 …;Electron-impact excitation of Fe II;
2018;APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts 2018 …;Comprehensive out-of-plane (e, 2 e) measurements and calculations on He autoionizing levels;
2018;Physical Review A 97 (1), 013425;Ratios of double to single ionization of He and Ne by strong 400-nm laser pulses using the quantitative rescattering theory;https://link.aps.org/accepted/10.1103/PhysRevA.97.013425
2018;Journal of Physics B: Atomic, Molecular and Optical Physics 51 (3), 035004;Low-energy outer-shell photo-detachment of the negative ion of aluminum;
2018;APS Annual Gaseous Electronics Meeting Abstracts, PR1. 002;Light polarization after electron impact excitation of Zinc.;
2018;APS Annual Gaseous Electronics Meeting Abstracts, PR1. 007;Dirac B-spline R-Matrix Calculations for e-Xe+ collisions.;
2018;APS Annual Gaseous Electronics Meeting Abstracts, PR1. 003;Cross Sections and Spin Asymmetries for Electron Collisions with Lead Atoms;
2017;The Astrophysical Journal 850 (2), 147;Transition and Electron Impact Excitation Collision Rates for O III;https://iopscience.iop.org/article/10.3847/1538-4357/aa9613/pdf
2017;Bulletin of the American Physical Society 62;Electron Impact Excitation of Xenon;
2017;Bulletin of the American Physical Society 62;Transition rates and electron impact excitation rates for O III;
2017;Astronomy & Astrophysics 606, A11;Inelastic e+ Mg collision data and its impact on modelling stellar and supernova spectra;https://www.aanda.org/articles/aa/pdf/2017/10/aa30864-17.pdf
2017;Journal of Physics: Conference Series 875 (6), 052003;Benchmark calculations for electron-impact excitation of Mg4+;https://iopscience.iop.org/article/10.1088/1742-6596/875/6/052003/pdf
2017;Journal of Physics: Conference Series 875 (6), 052002;Electron impact excitation of O III;
2017;Journal of Physics: Conference Series 875 (3), 022002;Photoionization of neutral iron from ground and metastable states;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022002/pdf
2017;Journal of Physics: Conference Series 875 (3), 022003;Low-energy outer-shell photodetachment of the negative ion of aluminum;https://iopscience.iop.org/article/10.1088/1742-6596/875/3/022003/pdf
2017;VizieR Online Data Catalog, J/ApJ/788/24;VizieR Online Data Catalog: Collision strengths for transitions in Fe VII (Tayal+, 2014);
2017;Journal of Physics: Conference Series 875 (6), 052004;B-spline R-matrix with pseudo-states calculations for electron-impact excitation and ionization of magnesium;https://iopscience.iop.org/article/10.1088/1742-6596/875/6/052004/pdf
2017;VizieR Online Data Catalog, J/A+ A/606/A11;VizieR Online Data Catalog: Inelastic e+ Mg collision data (Barklem+, 2017);
